#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_013241401.1	Q9XA52	1.A.1.13.5	gnl|BL_ORD_ID|19407 gnl|TC-DB|Q9XA52|1.A.1.13.5 Putative ion channel membrane protein OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) GN=SCO3826 PE=4 SV=1	334	3.13971e-100	46	359	365	22	351	15	348	91.6	91.2	2	2	1.85	VIC	CHEBI:24870;ion	PF02254,PF07885	PF02254,PF07885
WP_013240955.1	P18156	1.A.8.2.1	gnl|BL_ORD_ID|9270 gnl|TC-DB|P18156|1.A.8.2.1 GLYCEROL UPTAKE FACILITATOR PROTEIN - Bacillus subtilis.	234	3.74153e-61	44	241	274	8	238	4	228	95.4	81.8	6	7	4.9	MIP	CHEBI:5448;glycerol	PF00230	PF00230
WP_013241236.1	F0PTD8	1.A.16.3.5	gnl|BL_ORD_ID|4089 gnl|TC-DB|F0PTD8|1.A.16.3.5 Formate/nitrite transporter family protein OS=Bacillus thuringiensis subsp. finitimus (strain YBT-020) OX=930170 GN=YBT020_07190 PE=4 SV=1	245	1.34683e-23	29	251	283	4	244	16	254	95.6	84.1	6	6	5.2	FNT	CHEBI:15740;formate	PF01226	PF01226
WP_013241520.1	P0A5K8	1.A.22.1.2	gnl|BL_ORD_ID|8594 gnl|TC-DB|P0A5K8|1.A.22.1.2 Large-conductance mechanosensitive channel - Mycobacterium tuberculosis.	137	1.45773e-32	51	140	151	1	136	1	127	96.4	83.4	2	2	2.25	MscL	CHEBI:24870;ion	PF01741	PF01741
WP_014300883.1	WP_004567541	1.A.23.3.4	gnl|BL_ORD_ID|20734 gnl|TC-DB|WP_004567541.1|1.A.23.3.4 MULTISPECIES: mechanosensitive ion channel family protein [Corynebacterium]	215	2.45382e-84	56	224	334	3	216	104	318	95.1	64.1	1	4	0.95	MscS	CHEBI:21301;L-glutamate(1-)	PF00924	PF00924
WP_071307706.1	WP_004567541	1.A.23.3.4	gnl|BL_ORD_ID|20734 gnl|TC-DB|WP_004567541.1|1.A.23.3.4 MULTISPECIES: mechanosensitive ion channel family protein [Corynebacterium]	69	8.96515e-12	38	98	334	13	81	15	83	69.4	20.4	1	4	0.85	MscS	CHEBI:21301;L-glutamate(1-)	NA	PF00924
WP_014401135.1	GAV97011	1.A.23.3.5	gnl|BL_ORD_ID|4930 gnl|TC-DB|GAV97011.1|1.A.23.3.5 small-conductance mechanosensitive channel Msc1 [Corynebacterium glutamicum]	562	5.89554e-143	43	564	533	5	547	9	526	96.1	97.0	4	6	2.85	MscS	CHEBI:24866;salt, CHEBI:21301;L-glutamate(1-), CHEBI:25212;metabolite	PF00924	PF00924
WP_223201506.1	WP_092311603	1.A.23.8.3	gnl|BL_ORD_ID|21598 gnl|TC-DB|WP_092311603.1|1.A.23.8.3 hypothetical protein [Brevundimonas viscosa]	182	4.69308e-05	25	278	439	24	200	26	201	63.3	39.9	7	9	4.25	MscS	None	NA	PF05552,PF05552
WP_014401293.1	Q45121	1.A.26.1.1	gnl|BL_ORD_ID|13619 gnl|TC-DB|Q45121|1.A.26.1.1 MGTE - Bacillus firmus.	160	4.04222e-05	26	477	312	124	277	36	193	32.1	50.3	1	5	0.0	MgtE	CHEBI:6635;magnesium(2+), CHEBI:23337;cobalt(2+)	PF00478,PF00571,PF00571,PF01070	PF01769,PF00571,PF00571
WP_223201529.1	Q52398	1.A.26.1.4	gnl|BL_ORD_ID|13956 gnl|TC-DB|Q52398|1.A.26.1.4 MGTE PROTEIN - Providencia stuartii.	281	9.30821e-74	42	461	356	178	458	76	352	60.7	77.5	5	4	3.45	MgtE	CHEBI:6635;magnesium(2+), CHEBI:23337;cobalt(2+)	PF01769,PF03448	PF01769,PF00571
WP_013241868.1	O50455	1.A.35.3.5	gnl|BL_ORD_ID|7268 gnl|TC-DB|O50455|1.A.35.3.5 Magnesium transport protein CorA OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=corA PE=1 SV=1	356	1.12308e-102	44	356	366	2	354	14	366	98.9	96.2	1	2	0.9	MIT	CHEBI:6635;magnesium(2+), CHEBI:23337;cobalt(2+)	PF01544	PF01544
