#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_025879778.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	327	3.20256e-55	34	342	353	7	326	21	346	93.3	92.1	3	1	0.9	E-ClC	None	PF13519,PF00092,PF07584	PF13519,PF00092
WP_018920801.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	317	1.39013e-36	30	332	353	26	330	43	350	91.6	87.0	3	1	0.85	E-ClC	None	PF00092,PF13519,PF07584	PF13519,PF00092
WP_026285967.1	P0AAC4	1.A.14.2.2	gnl|BL_ORD_ID|8652 gnl|TC-DB|P0AAC4|1.A.14.2.2 Inner membrane protein ybhL - Escherichia coli.	214	4.2969e-54	45	244	234	30	241	21	231	86.5	89.7	7	7	6.3	CaTA	CHEBI:13704;acetate	PF01027	PF01027
WP_004378239.1	Q54D51	1.A.17.5.14	gnl|BL_ORD_ID|14030 gnl|TC-DB|Q54D51|1.A.17.5.14 Uncharacterized protein OS=Dictyostelium discoideum GN=DDB0184423 PE=4 SV=1	118	0.000644942	23	166	1267	28	143	997	1114	69.3	9.2	1	13	0.0	CaClC	None	PF03938	NA
WP_004376747.1	P0A742	1.A.22.1.1	gnl|BL_ORD_ID|8609 gnl|TC-DB|P0A742|1.A.22.1.1 Large-conductance mechanosensitive channel - Escherichia coli.	137	4.44984e-46	57	141	136	5	141	4	132	96.5	94.1	2	2	1.6	MscL	CHEBI:24870;ion, CHEBI:25728;osmolyte	PF01741	PF01741
WP_018919248.1	WP_133133036	1.A.23.1.5	gnl|BL_ORD_ID|21868 gnl|TC-DB|WP_133133036.1|1.A.23.1.5 mechanosensitive ion channel [Legionella sp. W10-070]	854	5.5682e-21	21	792	952	1	775	114	936	97.7	86.3	10	10	5.95	MscS	CHEBI:24870;ion	PF00924	PF00924
WP_018920489.1	P0AAT4	1.A.23.4.5	gnl|BL_ORD_ID|8685 gnl|TC-DB|P0AAT4|1.A.23.4.5 Miniconductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscM PE=1 SV=1	302	5.04165e-62	38	382	415	97	377	98	399	73.3	72.5	4	4	3.05	MscS	CHEBI:24870;ion, CHEBI:25367;molecule	PF00924	PF00924
WP_004375616.1	P28612	1.A.30.1.3	gnl|BL_ORD_ID|9649 gnl|TC-DB|P28612|1.A.30.1.3 Chemotaxis motB protein (Motility protein B) - Bacillus subtilis.	134	1.32948e-15	28	284	261	135	268	125	253	46.8	49.0	1	1	0.0	Mot/Exb	CHEBI:5584;hydron	PF00691	PF13677,PF00691
WP_004371460.1	Q8F192	1.A.30.2.9	gnl|BL_ORD_ID|16122 gnl|TC-DB|Q8F192|1.A.30.2.9 Biopolymer transport protein TolQ OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=tolQ PE=3 SV=1	191	2.1015e-22	29	282	270	91	280	79	269	67.0	70.4	3	4	2.85	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618
WP_025879708.1	Q8F191	1.A.30.2.9	gnl|BL_ORD_ID|16121 gnl|TC-DB|Q8F191|1.A.30.2.9 ExbD-related biopolymer transport protein OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=LA_3245 PE=3 SV=2	86	1.08484e-05	31	175	139	5	90	6	86	48.6	57.6	1	1	0.8	Mot/Exb	CHEBI:5584;hydron	PF02472	PF02472
WP_004371574.1	Q84FB8	1.A.30.3.2	gnl|BL_ORD_ID|15781 gnl|TC-DB|Q84FB8|1.A.30.3.2 Adventurous gliding motility protein R OS=Myxococcus xanthus GN=aglR PE=3 SV=1	206	2.89984e-17	31	278	245	73	273	40	228	71.9	76.7	4	3	2.35	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618
WP_018919790.1	EKF49049	1.A.30.6.7	gnl|BL_ORD_ID|4010 gnl|TC-DB|EKF49049|1.A.30.6.7 viral A-type inclusion protein repeat protein [Thermosipho africanus H17ap60334]	338	1.84169e-06	19	492	411	144	439	65	385	60.0	77.9	4	3	1.8	Mot/Exb	None	NA	NA
WP_004375629.1	A3CLT2	1.A.35.3.4	gnl|BL_ORD_ID|312 gnl|TC-DB|A3CLT2|1.A.35.3.4 Cation transporter CorA family, putative OS=Streptococcus sanguinis (strain SK36) GN=SSA_0701 PE=4 SV=1	280	2.85406e-21	22	308	302	22	296	13	289	89.0	91.4	3	3	2.5	MIT	CHEBI:6635;magnesium(2+)	PF01544	PF01544
WP_018919903.1	I3YSC9	1.A.43.1.13	gnl|BL_ORD_ID|5313 gnl|TC-DB|I3YSC9|1.A.43.1.13 Putative fluoride ion transporter CrcB OS=Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3) GN=crcB PE=3 SV=1	122	9.68038e-26	43	134	123	11	132	1	121	90.3	97.6	4	4	3.65	Fluc	CHEBI:17051;fluoride, CHEBI:41334;(R)-camphor	PF02537	PF02537
WP_126370242.1	Q7Y5E2	1.A.44.1.1	gnl|BL_ORD_ID|15659 gnl|TC-DB|Q7Y5E2|1.A.44.1.1 Pore-forming tail tip protein Pb2 - Bacteriophage T5.	665	1.0139e-08	19	1139	1219	524	1133	580	1188	53.5	49.9	5	1	0.0	T5-pb2	CHEBI:24870;ion, CHEBI:4291;deoxyribonucleic acid	PF10145	NA
WP_018919113.1	A0M015	1.A.62.2.1	gnl|BL_ORD_ID|82 gnl|TC-DB|A0M015|1.A.62.2.1 Membrane protein, UPF0126 OS=Gramella forsetii (strain KT0803) GN=GFO_0986 PE=4 SV=1	201	1.55656e-49	39	212	215	6	205	2	202	93.9	93.0	7	7	5.8	TRIC	CHEBI:24870;ion, CHEBI:3473;cation, CHEBI:25212;metabolite	PF03458,PF03458	PF03458,PF03458
WP_018920251.1	RZD32576	1.A.115.1.2	gnl|BL_ORD_ID|19998 gnl|TC-DB|RZD32576|1.A.115.1.2 NAD-binding protein [Euryarchaeota archaeon]	173	7.35147e-14	31	279	261	34	206	9	177	61.6	64.4	1	1	0.0	Ayr1	None	PF00106,PF13561,PF08659,PF01370	PF00106,PF13561,PF08659
WP_018920224.1	WP_062382148	1.A.115.1.5	gnl|BL_ORD_ID|21287 gnl|TC-DB|WP_062382148.1|1.A.115.1.5 SDR family oxidoreductase [Pseudomonas abietaniphila]	249	9.9813e-33	32	267	250	10	258	5	246	92.9	96.4	1	1	0.0	Ayr1	None	PF13561,PF00106,PF08659	PF13561,PF00106,PF08659
WP_018920080.1	C7PU69	1.B.6.6.6	gnl|BL_ORD_ID|2678 gnl|TC-DB|C7PU69|1.B.6.6.6 Uncharacterized protein OS=Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034) GN=Cpin_1613 PE=4 SV=1	181	2.23019e-10	28	161	199	4	161	2	182	97.5	90.5	1	1	0.75	OOP	CHEBI:25367;molecule	NA	NA
WP_025879728.1	O30487	1.B.6.6.7	gnl|BL_ORD_ID|7023 gnl|TC-DB|O30487|1.B.6.6.7 Putative uncharacterized protein OS=Flavobacterium johnsoniae PE=4 SV=1	195	2.02968e-13	27	174	193	1	174	1	181	99.4	93.3	1	1	1.0	OOP	CHEBI:25367;molecule	PF13505	PF13505
WP_018920512.1	F2NY23	1.B.9.2.4	gnl|BL_ORD_ID|4202 gnl|TC-DB|F2NY23|1.B.9.2.4 Membrane protein involved in aromatic hydrocarbon degradation OS=Treponema succinifaciens (strain ATCC 33096 / DSM 2489 / 6091) GN=Tresu_0846 PE=4 SV=1	467	9.3666e-17	22	513	434	5	456	3	384	87.9	87.8	1	1	0.85	FadL	CHEBI:33658;arene	NA	PF03349,PF02530
WP_018920045.1	Q9F634	1.B.14.3.6	gnl|BL_ORD_ID|17956 gnl|TC-DB|Q9F634|1.B.14.3.6 MxcH OS=Stigmatella aurantiaca GN=mxcH PE=3 SV=1	705	4.87075e-47	24	815	869	144	811	187	863	81.8	77.8	1	1	0.0	OMR	None	PF00593,PF13715,PF07715,PF13620	PF07715,PF03544
WP_018919858.1	Q45780	1.B.14.6.1	gnl|BL_ORD_ID|13644 gnl|TC-DB|Q45780|1.B.14.6.1 OUTER MEMBRANE PROTEIN - Bacteroides thetaiotaomicron.	1086	0.0	46	1039	1038	2	1039	14	1038	99.8	98.7	1	1	0.55	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715	PF07715,PF00593,PF13715,PF13620
WP_025879570.1	Q45780	1.B.14.6.1	gnl|BL_ORD_ID|13644 gnl|TC-DB|Q45780|1.B.14.6.1 OUTER MEMBRANE PROTEIN - Bacteroides thetaiotaomicron.	1110	7.30923e-132	30	1063	1038	3	1063	13	1038	99.7	98.7	1	1	0.65	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715,PF13620	PF07715,PF00593,PF13715,PF13620
WP_025879564.1	Q45780	1.B.14.6.1	gnl|BL_ORD_ID|13644 gnl|TC-DB|Q45780|1.B.14.6.1 OUTER MEMBRANE PROTEIN - Bacteroides thetaiotaomicron.	1072	1.27188e-113	29	994	1038	2	994	14	1038	99.8	98.7	1	1	0.6	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF13715,PF07715,PF13620	PF07715,PF00593,PF13715,PF13620
WP_026285862.1	Q45780	1.B.14.6.1	gnl|BL_ORD_ID|13644 gnl|TC-DB|Q45780|1.B.14.6.1 OUTER MEMBRANE PROTEIN - Bacteroides thetaiotaomicron.	1127	4.01996e-107	28	1076	1038	6	1076	22	1038	99.4	97.9	1	1	0.5	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715,PF13620	PF07715,PF00593,PF13715,PF13620
WP_018921157.1	Q45780	1.B.14.6.1	gnl|BL_ORD_ID|13644 gnl|TC-DB|Q45780|1.B.14.6.1 OUTER MEMBRANE PROTEIN - Bacteroides thetaiotaomicron.	1167	1.22952e-67	25	1108	1038	1	1108	20	1036	99.9	97.9	1	1	0.55	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF13715,PF07715,PF13620	PF07715,PF00593,PF13715,PF13620
WP_026285875.1	Q93TH9	1.B.14.6.2	gnl|BL_ORD_ID|17350 gnl|TC-DB|Q93TH9|1.B.14.6.2 Outer membrane protein Omp121 - Bacteroides fragilis.	1169	3.04579e-130	28	1134	1125	1	1134	1	1125	99.9	99.9	1	1	1.0	OMR	CHEBI:25367;molecule	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715,PF13620
