#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_005354446.1	Q9YDF8	1.A.1.17.1	gnl|BL_ORD_ID|19547 gnl|TC-DB|Q9YDF8|1.A.1.17.1 295AA long hypothetical potassium channel - Aeropyrum pernix.	255	8.96938e-17	22	250	295	11	249	40	292	95.2	85.4	5	5	2.1	VIC	CHEBI:8345;potassium(1+)	PF07885,PF00520	PF07885,PF00520
WP_005353221.1	V4HHT4	1.A.1.29.3	gnl|BL_ORD_ID|20472 gnl|TC-DB|V4HHT4|1.A.1.29.3 Uncharacterized protein OS=Pseudoalteromonas luteoviolacea 2ta16 GN=PL2TA16_02035 PE=4 SV=1	320	4.90256e-103	46	320	326	4	320	7	326	98.8	97.9	3	3	2.55	VIC	None	PF07885,PF00805	PF07885,PF00805,PF00805
WP_005350866.1	P0AER0	1.A.8.1.1	gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.	280	7.14046e-131	66	282	281	3	282	1	280	98.9	99.3	6	6	6.2	MIP	CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol	PF00230	PF00230
WP_005334357.1	P60844	1.A.8.3.1	gnl|BL_ORD_ID|11132 gnl|TC-DB|P60844|1.A.8.3.1 Aquaporin Z - Escherichia coli.	222	7.81799e-119	74	229	231	2	222	3	224	96.1	95.7	6	6	6.05	MIP	CHEBI:5585;water	PF00230	PF00230
WP_005342989.1	P69681	1.A.11.1.1	gnl|BL_ORD_ID|11268 gnl|TC-DB|P69681|1.A.11.1.1 Ammonia channel - Escherichia coli.	468	5.65632e-172	53	475	428	7	474	10	427	98.3	97.4	11	12	6.6	Amt	CHEBI:49783;ammonium, CHEBI:7434;ammonia	PF00909	PF00909
WP_150389143.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	299	9.64206e-18	29	330	353	33	312	62	350	84.5	81.6	3	1	0.25	E-ClC	None	PF00092,PF13519	PF13519,PF00092
WP_150389154.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	280	4.02852e-17	28	347	353	80	335	86	349	73.5	74.5	3	1	0.75	E-ClC	None	PF00092,PF13519	PF13519,PF00092
WP_150389144.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	147	8.66361e-16	33	483	353	41	183	69	214	29.4	41.1	1	1	0.5	E-ClC	None	PF13519,PF07719,PF00515	PF13519,PF00092
WP_150389155.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	212	6.93636e-15	30	576	353	2	207	4	215	35.6	59.8	3	1	0.75	E-ClC	None	PF13519,PF00092	PF13519,PF00092
WP_005338308.1	P0AAC6	1.A.14.2.1	gnl|BL_ORD_ID|8653 gnl|TC-DB|P0AAC6|1.A.14.2.1 Inner membrane protein yccA - Escherichia coli.	204	1.75592e-81	59	218	219	11	214	11	214	93.1	92.7	7	7	7.15	CaTA	None	PF01027	PF01027
