#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_005039691.1	Q02006	1.A.1.24.1	gnl|BL_ORD_ID|12039 gnl|TC-DB|Q02006|1.A.1.24.1 Putative potassium channel protein RPA4233 - Rhodopseudomonas palustris.	254	1.2808e-48	33	327	412	2	253	4	257	76.8	61.4	7	7	4.2	VIC	CHEBI:8345;potassium(1+)	PF00520,PF07885	PF00520,PF00027,PF07885
WP_003654029.1	K6KRX2	1.A.1.28.6	gnl|BL_ORD_ID|5631 gnl|TC-DB|K6KRX2|1.A.1.28.6 Ion channel OS=Acinetobacter baumannii OIFC111 GN=ACIN5111_3672 PE=4 SV=1	230	6.87568e-152	91	230	230	1	230	1	230	99.6	99.6	6	6	5.3	VIC	CHEBI:8345;potassium(1+)	PF07885	PF07885
WP_080027916.1	P19334	1.A.4.1.1	gnl|BL_ORD_ID|9307 gnl|TC-DB|P19334|1.A.4.1.1 TRANSIENT RECEPTOR POTENTIAL PROTEIN - Drosophila melanogaster (Fruit fly).	132	1.78077e-06	27	146	1275	34	142	982	1113	74.0	10.3	1	7	0.0	TRP-CC	CHEBI:3308;calcium(2+)	NA	PF00520,PF08344
WP_056482324.1	P60844	1.A.8.3.1	gnl|BL_ORD_ID|11132 gnl|TC-DB|P60844|1.A.8.3.1 Aquaporin Z - Escherichia coli.	228	1.16814e-106	66	229	231	3	229	4	231	98.7	98.3	6	6	6.25	MIP	CHEBI:5585;water	PF00230	PF00230
WP_080026161.1	O67997	1.A.11.1.4	gnl|BL_ORD_ID|7469 gnl|TC-DB|O67997|1.A.11.1.4 AmtB OS=Azospirillum brasilense GN=amtB PE=4 SV=1	416	0.0	63	464	438	48	463	24	437	89.4	94.3	11	12	10.8	Amt	CHEBI:7434;ammonia	PF00909	PF00909
WP_005049911.1	O28528	1.A.11.2.7	gnl|BL_ORD_ID|6993 gnl|TC-DB|O28528|1.A.11.2.7 Ammonium transporter (Amt-2) OS=Archaeoglobus fulgidus GN=AF_1746 PE=4 SV=1	409	1.13824e-72	38	395	468	4	384	37	443	96.2	86.8	11	12	7.05	Amt	CHEBI:7435;ammonium, CHEBI:35264;tetramethylammonium	PF00909	PF00909
WP_080028040.1	P37327	1.A.16.4.1	gnl|BL_ORD_ID|10092 gnl|TC-DB|P37327|1.A.16.4.1 Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1	280	6.01238e-57	37	283	310	3	280	9	287	97.9	89.7	6	6	5.85	FNT	CHEBI:22563;anion, CHEBI:35195;surfactant	PF01226	PF01226
WP_005036267.1	Q2KCQ1	1.A.22.1.4	gnl|BL_ORD_ID|13267 gnl|TC-DB|Q2KCQ1|1.A.22.1.4 Large-conductance mechanosensitive channel OS=Rhizobium etli (strain CFN 42 / ATCC 51251) GN=mscL PE=3 SV=1	145	1.95756e-42	53	143	145	3	142	1	142	97.2	97.2	2	2	2.4	MscL	CHEBI:24870;ion	PF01741	PF01741
WP_005036762.1	P0C0S1	1.A.23.2.1	gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.	248	8.65178e-24	26	305	286	29	275	31	273	80.7	84.6	3	4	2.45	MscS	CHEBI:24870;ion	PF00924	PF00924,PF05552
WP_005038043.1	D7FD61	1.A.23.2.2	gnl|BL_ORD_ID|3423 gnl|TC-DB|D7FD61|1.A.23.2.2 Small conductance mechanosensitive ion channel, MscS family OS=Helicobacter pylori (strain B8) GN=mscS PE=4 SV=1	271	2.73014e-29	27	324	274	44	313	4	271	83.0	97.4	4	4	2.65	MscS	CHEBI:24870;ion	PF00924	PF00924
