#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_018121012.1	Q9XA52	1.A.1.13.5	gnl|BL_ORD_ID|19407 gnl|TC-DB|Q9XA52|1.A.1.13.5 Putative ion channel membrane protein OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) GN=SCO3826 PE=4 SV=1	331	1.56094e-98	45	413	365	26	352	22	352	78.9	90.4	3	2	1.8	VIC	CHEBI:24870;ion	PF02254,PF07885	PF02254,PF07885
WP_018119794.1	Q79VF1	1.A.11.1.3	gnl|BL_ORD_ID|15364 gnl|TC-DB|Q79VF1|1.A.11.1.3 Ammonia permeases - Corynebacterium glutamicum (Brevibacterium flavum).	430	0.0	72	440	438	5	434	9	438	97.5	97.9	11	11	11.65	Amt	CHEBI:7434;ammonia	PF00909	PF00909
WP_161796704.1	Q93IP6	1.A.11.2.3	gnl|BL_ORD_ID|17290 gnl|TC-DB|Q93IP6|1.A.11.2.3 Ammonium/methylammonium permease - Synechococcus sp. (strain PCC 7942) (Anacystis nidulans R2).	152	0.000691085	28	251	491	33	172	283	413	55.4	26.5	5	12	2.7	Amt	CHEBI:7434;ammonia, CHEBI:6864;methylamine	PF07853	PF00909
WP_018121221.1	A9WMF7	1.A.22.1.9	gnl|BL_ORD_ID|986 gnl|TC-DB|A9WMF7|1.A.22.1.9 Large-conductance mechanosensitive channel OS=Renibacterium salmoninarum (strain ATCC 33209 / DSM 20767 / JCM 11484 / NBRC 15589 / NCIMB 2235) GN=mscL PE=3 SV=1	136	3.66328e-27	40	163	133	1	135	1	130	82.2	97.0	2	2	2.2	MscL	CHEBI:24870;ion	PF01741	PF01741
WP_152671636.1	P0C0S1	1.A.23.2.1	gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.	238	6.36567e-25	26	289	286	22	254	29	260	80.3	80.8	5	4	3.3	MscS	CHEBI:24870;ion	PF00924	PF00924,PF05552
WP_018120922.1	WP_004567541	1.A.23.3.4	gnl|BL_ORD_ID|20734 gnl|TC-DB|WP_004567541.1|1.A.23.3.4 MULTISPECIES: mechanosensitive ion channel family protein [Corynebacterium]	333	1.60852e-113	47	349	334	20	349	9	333	94.3	97.0	2	4	1.8	MscS	CHEBI:21301;L-glutamate(1-)	PF00924	PF00924
WP_018120052.1	GAV97011	1.A.23.3.5	gnl|BL_ORD_ID|4930 gnl|TC-DB|GAV97011.1|1.A.23.3.5 small-conductance mechanosensitive channel Msc1 [Corynebacterium glutamicum]	445	2.29824e-114	44	412	533	3	412	7	448	99.3	82.7	3	6	2.55	MscS	CHEBI:24866;salt, CHEBI:21301;L-glutamate(1-), CHEBI:25212;metabolite	PF00924	PF00924
WP_018120213.1	A2C579	1.A.26.1.6	gnl|BL_ORD_ID|229 gnl|TC-DB|A2C579|1.A.26.1.6 Magnesium transporter MgtE OS=Prochlorococcus marinus (strain NATL1A) OX=167555 GN=mgtE PE=3 SV=1	427	5.11258e-83	36	454	469	32	453	41	466	92.7	90.6	5	5	4.7	MgtE	CHEBI:6635;magnesium(2+)	PF01769,PF03448,PF00571	PF01769,PF03448,PF00571,PF00571
WP_018120623.1	C7P777	1.A.43.1.4	gnl|BL_ORD_ID|2673 gnl|TC-DB|C7P777|1.A.43.1.4 Putative fluoride ion transporter CrcB OS=Methanocaldococcus fervens (strain DSM 4213 / JCM 157852 / AG86) GN=crcB PE=3 SV=1	117	1.6873e-09	32	129	124	17	129	8	122	86.8	91.9	4	4	3.1	Fluc	CHEBI:17051;fluoride, CHEBI:41334;(R)-camphor	PF02537	PF02537
WP_018120622.1	Q9PHZ4	1.A.43.1.11	gnl|BL_ORD_ID|18770 gnl|TC-DB|Q9PHZ4|1.A.43.1.11 Putative fluoride ion transporter CrcB OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=crcB PE=3 SV=1	118	0.00051095	26	148	122	1	96	1	117	64.2	95.1	3	4	2.45	Fluc	CHEBI:17051;fluoride	PF02537	PF02537
