#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_087478366.1	D7V8E7	1.A.8.2.6	gnl|BL_ORD_ID|3442 gnl|TC-DB|D7V8E7|1.A.8.2.6 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF3 PE=3 SV=1	224	8.77559e-83	54	241	240	4	227	10	228	92.5	90.8	6	6	5.15	MIP	CHEBI:5585;water, CHEBI:5453;dihydroxyacetone, CHEBI:5448;glycerol	PF00230	PF00230
WP_204967610.1	O67997	1.A.11.1.4	gnl|BL_ORD_ID|7469 gnl|TC-DB|O67997|1.A.11.1.4 AmtB OS=Azospirillum brasilense GN=amtB PE=4 SV=1	401	4.65847e-138	49	436	438	1	399	39	435	91.3	90.4	11	12	10.8	Amt	CHEBI:7434;ammonia	PF00909	PF00909
WP_107195793.1	P0C0S1	1.A.23.2.1	gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.	260	5.58836e-55	35	295	286	33	292	23	282	87.8	90.6	4	4	2.5	MscS	CHEBI:24870;ion	PF00924,PF05552	PF00924,PF05552
WP_095628908.1	Q1CYB7	1.A.30.2.5	gnl|BL_ORD_ID|12872 gnl|TC-DB|Q1CYB7|1.A.30.2.5 Transport energizing protein, ExbD/TolR family OS=Myxococcus xanthus (strain DK 1622) GN=MXAN_6484 PE=3 SV=1	119	5.34058e-19	33	137	144	14	132	15	132	86.1	81.2	1	1	1.0	Mot/Exb	CHEBI:5584;hydron	PF02472	PF02472
WP_095629838.1	Q8F192	1.A.30.2.9	gnl|BL_ORD_ID|16122 gnl|TC-DB|Q8F192|1.A.30.2.9 Biopolymer transport protein TolQ OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=tolQ PE=3 SV=1	189	1.75596e-21	32	203	270	7	191	65	253	90.6	69.6	3	4	2.95	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618
WP_107196819.1	Q8F192	1.A.30.2.9	gnl|BL_ORD_ID|16122 gnl|TC-DB|Q8F192|1.A.30.2.9 Biopolymer transport protein TolQ OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=tolQ PE=3 SV=1	198	2.61359e-17	32	206	270	8	188	66	252	87.4	68.9	3	4	2.3	Mot/Exb	CHEBI:5584;hydron	PF01618	PF01618
WP_087477116.1	P72603	1.A.30.2.10	gnl|BL_ORD_ID|11350 gnl|TC-DB|P72603|1.A.30.2.10 Sll1405 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1405 PE=3 SV=1	119	1.04277e-20	38	134	142	15	133	23	141	88.1	83.1	1	1	0.95	Mot/Exb	None	PF02472	PF02472
WP_087477532.1	A3CLT2	1.A.35.3.4	gnl|BL_ORD_ID|312 gnl|TC-DB|A3CLT2|1.A.35.3.4 Cation transporter CorA family, putative OS=Streptococcus sanguinis (strain SK36) GN=SSA_0701 PE=4 SV=1	287	5.18525e-34	25	317	302	22	300	9	284	87.7	91.1	5	3	2.35	MIT	CHEBI:6635;magnesium(2+)	PF01544	PF01544
WP_095629977.1	Q7VYU0	1.A.43.1.17	gnl|BL_ORD_ID|15621 gnl|TC-DB|Q7VYU0|1.A.43.1.17 Putative fluoride ion transporter CrcB OS=Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) GN=crcB PE=1 SV=1	117	1.69444e-22	36	125	128	3	119	8	121	92.8	88.3	4	4	3.65	Fluc	CHEBI:49593;fluoride	PF02537	PF02537
WP_087477125.1	R8YEH7	1.A.54.5.3	gnl|BL_ORD_ID|19822 gnl|TC-DB|R8YEH7|1.A.54.5.3 Type 4 prepilin-like proteins leader peptide-processing enzyme OS=Acinetobacter pittii ANC 4050 GN=F931_02543 PE=3 SV=1	147	3.48651e-09	28	156	286	15	151	135	280	87.2	50.7	4	7	2.85	Presenilin	CHEBI:3473;cation	PF01478	PF06750,PF01478
WP_095628709.1	A0M015	1.A.62.2.1	gnl|BL_ORD_ID|82 gnl|TC-DB|A0M015|1.A.62.2.1 Membrane protein, UPF0126 OS=Gramella forsetii (strain KT0803) GN=GFO_0986 PE=4 SV=1	221	4.87816e-45	38	221	215	1	219	4	211	98.6	96.3	7	7	4.3	TRIC	CHEBI:24870;ion, CHEBI:3473;cation, CHEBI:25212;metabolite	PF03458,PF03458	PF03458,PF03458
WP_087477081.1	Q39QA5	1.A.77.2.13	gnl|BL_ORD_ID|13445 gnl|TC-DB|Q39QA5|1.A.77.2.13 ATP synthase-associated magnesium import membrane protein AtpZ OS=Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210) GN=atpZ PE=4 SV=2	52	3.04143e-07	35	91	80	22	73	12	63	56.0	63.7	2	2	1.75	MCU	CHEBI:3473;cation	PF09527	PF09527
WP_107195913.1	P20598	1.A.77.3.4	gnl|BL_ORD_ID|9335 gnl|TC-DB|P20598|1.A.77.3.4 ATP synthase protein I OS=Bacillus megaterium (strain ATCC 12872 / QMB1551) GN=atpI PE=3 SV=1	51	8.80332e-05	33	123	123	74	123	73	123	39.8	40.7	4	3	2.75	MCU	CHEBI:3473;cation	NA	PF03899
WP_095628860.1	WP_155315461	1.A.87.2.10	gnl|BL_ORD_ID|21994 gnl|TC-DB|WP_155315461|1.A.87.2.10 serine/threonine protein kinase [Desulfosarcina alkanivorans]	260	7.10076e-56	42	641	399	9	267	5	263	40.2	64.7	2	2	0.7	MCA	None	PF00069,PF07714,PF03793,PF03793,PF03793,PF03109	PF00069,PF07714,PF08308
WP_107195278.1	Q0PBV6	1.A.112.2.3	gnl|BL_ORD_ID|12473 gnl|TC-DB|Q0PBV6|1.A.112.2.3 Putative integral membrane protein with haemolysin domain OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=Cj0183 PE=4 SV=1	428	8.68444e-77	35	446	452	11	427	27	444	93.3	92.3	4	4	3.4	CNNM	None	PF01595,PF03471,PF00571,PF00571	PF01595,PF03471,PF00571,PF00571
WP_205410346.1	O07585	1.A.112.2.4	gnl|BL_ORD_ID|6804 gnl|TC-DB|O07585|1.A.112.2.4 UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1	426	1.68301e-124	43	438	444	1	422	8	432	96.1	95.5	3	4	2.75	CNNM	CHEBI:6635;magnesium(2+), CHEBI:23337;cobalt(2+)	PF01595,PF03471,PF00571,PF00571	PF01595,PF03471,PF00571,PF00571
WP_107196284.1	P0AE45	1.A.112.2.11	gnl|BL_ORD_ID|8772 gnl|TC-DB|P0AE45|1.A.112.2.11 UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) OX=83333 GN=ytfL PE=1 SV=1	434	1.40717e-62	27	455	447	10	443	6	424	95.2	93.5	4	4	3.9	CNNM	CHEBI:8650;putrescine, CHEBI:3288;cadaverine	PF01595,PF03471,PF00571	PF01595,PF03471,PF00571
WP_107196084.1	RZD32576	1.A.115.1.2	gnl|BL_ORD_ID|19998 gnl|TC-DB|RZD32576|1.A.115.1.2 NAD-binding protein [Euryarchaeota archaeon]	236	1.67761e-12	25	257	261	4	230	5	229	87.9	85.8	4	1	0.95	Ayr1	None	PF00106,PF13561,PF08659	PF00106,PF13561,PF08659
WP_087478477.1	G0VME1	1.B.6.1.7	gnl|BL_ORD_ID|4605 gnl|TC-DB|G0VME1|1.B.6.1.7 OmpA family protein OS=Megasphaera elsdenii DSM 20460 GN=MELS_0480 PE=4 SV=1	228	2.68773e-76	53	208	369	1	207	2	228	99.0	61.2	1	1	0.85	OOP	CHEBI:25367;molecule	PF13505	PF13505,PF00691,PF01389
WP_095629361.1	G0VPM2	1.B.6.1.9	gnl|BL_ORD_ID|4607 gnl|TC-DB|G0VPM2|1.B.6.1.9 Putative uncharacterized protein OS=Megasphaera elsdenii DSM 20460 GN=MELS_1178 PE=4 SV=1	194	1.32828e-108	73	194	192	1	194	1	192	99.5	99.5	1	1	0.95	OOP	CHEBI:25367;molecule	PF13505	PF13505
