#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_005277555.1	Q9XA52	1.A.1.13.5	gnl|BL_ORD_ID|19407 gnl|TC-DB|Q9XA52|1.A.1.13.5 Putative ion channel membrane protein OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) GN=SCO3826 PE=4 SV=1	332	9.70216e-89	42	372	365	28	355	15	346	87.9	90.7	2	2	1.8	VIC	CHEBI:24870;ion	PF02254,PF07885	PF02254,PF07885
WP_005279712.1	P18156	1.A.8.2.1	gnl|BL_ORD_ID|9270 gnl|TC-DB|P18156|1.A.8.2.1 GLYCEROL UPTAKE FACILITATOR PROTEIN - Bacillus subtilis.	229	3.88739e-59	46	245	274	6	233	3	221	92.7	79.6	6	7	4.65	MIP	CHEBI:5448;glycerol	PF00230	PF00230
WP_035108611.1	O28846	1.A.8.13.1	gnl|BL_ORD_ID|6999 gnl|TC-DB|O28846|1.A.8.13.1 GLYCEROL UPTAKE FACILITATOR, MIP CHANNEL (GLPF) - Archaeoglobus fulgidus.	125	3.48046e-05	30	257	246	79	192	86	207	44.0	49.2	7	6	3.2	MIP	CHEBI:5585;water	PF12811,PF01027	PF00230
WP_005278861.1	P48181	1.A.9.1.16	gnl|BL_ORD_ID|10691 gnl|TC-DB|P48181|1.A.9.1.16 Acetylcholine receptor subunit beta-type unc-29 OS=Caenorhabditis elegans OX=6239 GN=unc-29 PE=1 SV=2	190	2.31913e-05	27	208	493	13	194	211	387	87.0	35.7	4	5	2.5	LIC	CHEBI:23058;cation	NA	PF02931,PF02932
WP_005279855.1	Q79VF1	1.A.11.1.3	gnl|BL_ORD_ID|15364 gnl|TC-DB|Q79VF1|1.A.11.1.3 Ammonia permeases - Corynebacterium glutamicum (Brevibacterium flavum).	432	0.0	75	440	438	3	434	7	438	98.0	98.4	11	11	11.5	Amt	CHEBI:7434;ammonia	PF00909	PF00909
WP_005276977.1	F0PTD8	1.A.16.3.5	gnl|BL_ORD_ID|4089 gnl|TC-DB|F0PTD8|1.A.16.3.5 Formate/nitrite transporter family protein OS=Bacillus thuringiensis subsp. finitimus (strain YBT-020) OX=930170 GN=YBT020_07190 PE=4 SV=1	247	3.23557e-25	28	261	283	14	260	16	260	94.3	86.2	6	6	5.35	FNT	CHEBI:15740;formate	PF01226	PF01226
WP_005279922.1	P0A5K8	1.A.22.1.2	gnl|BL_ORD_ID|8594 gnl|TC-DB|P0A5K8|1.A.22.1.2 Large-conductance mechanosensitive channel - Mycobacterium tuberculosis.	158	2.67804e-34	46	165	151	1	157	1	151	94.5	99.3	2	2	2.2	MscL	CHEBI:24870;ion	PF01741	PF01741
WP_005277866.1	WP_004567541	1.A.23.3.4	gnl|BL_ORD_ID|20734 gnl|TC-DB|WP_004567541.1|1.A.23.3.4 MULTISPECIES: mechanosensitive ion channel family protein [Corynebacterium]	320	9.34101e-119	54	334	334	13	324	4	319	93.1	94.3	3	4	2.55	MscS	CHEBI:21301;L-glutamate(1-)	PF00924	PF00924
WP_005278199.1	GAV97011	1.A.23.3.5	gnl|BL_ORD_ID|4930 gnl|TC-DB|GAV97011.1|1.A.23.3.5 small-conductance mechanosensitive channel Msc1 [Corynebacterium glutamicum]	520	8.01402e-100	38	532	533	3	504	7	513	94.2	94.9	3	6	2.9	MscS	CHEBI:24866;salt, CHEBI:21301;L-glutamate(1-), CHEBI:25212;metabolite	PF00924	PF00924
WP_035108345.1	A2C579	1.A.26.1.6	gnl|BL_ORD_ID|229 gnl|TC-DB|A2C579|1.A.26.1.6 Magnesium transporter MgtE OS=Prochlorococcus marinus (strain NATL1A) OX=167555 GN=mgtE PE=3 SV=1	427	3.98198e-82	36	454	469	30	453	40	466	93.2	90.8	5	5	5.05	MgtE	CHEBI:6635;magnesium(2+)	PF01769,PF00571,PF00571,PF03448	PF01769,PF03448,PF00571,PF00571
