#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_005914205.1	P92960	1.A.1.4.9	gnl|BL_ORD_ID|11686 gnl|TC-DB|P92960|1.A.1.4.9 Potassium channel KAT3 - Arabidopsis thaliana (Mouse-ear cress).	179	2.49676e-05	23	230	662	25	202	413	586	77.0	26.1	2	7	0.0	VIC	CHEBI:8345;potassium(1+)	PF00027,PF00325,PF13545	PF00520,PF11834,PF00027,PF07885
WP_015463455.1	O27564	1.A.1.13.2	gnl|BL_ORD_ID|6985 gnl|TC-DB|O27564|1.A.1.13.2 Calcium-gated potassium channel mthK - Methanobacterium thermoautotrophicum.	333	2.00611e-11	23	360	336	2	328	7	318	90.6	92.6	2	2	1.35	VIC	CHEBI:8345;potassium(1+)	PF07885	PF02254,PF07885,PF02080
WP_011052272.1	Q1D027	1.A.1.24.3	gnl|BL_ORD_ID|12884 gnl|TC-DB|Q1D027|1.A.1.24.3 Transporter, cation channel family OS=Myxococcus xanthus (strain DK 1622) GN=MXAN_5859 PE=4 SV=1	270	3.0539e-89	49	290	275	15	284	11	275	92.8	96.0	6	5	4.8	VIC	CHEBI:8345;potassium(1+)	PF00520,PF07885	PF00520,PF07885
WP_007968441.1	P0AER0	1.A.8.1.1	gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.	261	1.71734e-58	42	273	281	5	260	7	263	93.4	91.1	6	6	6.0	MIP	CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol	PF00230	PF00230
WP_033482816.1	P69681	1.A.11.1.1	gnl|BL_ORD_ID|11268 gnl|TC-DB|P69681|1.A.11.1.1 Ammonia channel - Escherichia coli.	425	2.56508e-159	54	480	428	57	480	11	428	88.1	97.4	12	12	8.95	Amt	CHEBI:49783;ammonium, CHEBI:7434;ammonia	PF00909	PF00909
WP_011052235.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	294	9.53268e-25	33	601	353	5	269	16	290	43.9	77.6	3	1	0.6	E-ClC	None	PF13519,PF00092,PF00515,PF07719,PF13428,PF13181	PF13519,PF00092
WP_015463569.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	238	2.9344e-16	33	335	353	81	297	86	310	64.5	63.5	2	1	0.9	E-ClC	None	PF00092,PF13519	PF13519,PF00092
WP_003487203.1	P0A742	1.A.22.1.1	gnl|BL_ORD_ID|8609 gnl|TC-DB|P0A742|1.A.22.1.1 Large-conductance mechanosensitive channel - Escherichia coli.	135	1.11704e-44	56	143	136	1	133	1	130	92.3	94.9	2	2	1.95	MscL	CHEBI:24870;ion, CHEBI:25728;osmolyte	PF01741	PF01741
WP_005915721.1	P0C0S1	1.A.23.2.1	gnl|BL_ORD_ID|8876 gnl|TC-DB|P0C0S1|1.A.23.2.1 Small-conductance mechanosensitive channel - Escherichia coli.	250	4.07259e-55	37	330	286	48	297	27	276	75.5	87.1	5	4	2.45	MscS	CHEBI:24870;ion	PF00924	PF00924,PF05552
WP_026006972.1	C4KE93	1.A.23.4.6	gnl|BL_ORD_ID|2466 gnl|TC-DB|C4KE93|1.A.23.4.6 MscS Mechanosensitive ion channel OS=Sulfolobus islandicus (strain M.16.4 / Kamchatka #3) GN=M164_2539 PE=4 SV=1	181	9.0102e-06	26	197	309	27	182	36	206	78.7	55.0	3	5	2.4	MscS	CHEBI:24870;ion	PF00924	PF00924
WP_003486654.1	Q9S2Y1	1.A.23.7.1	gnl|BL_ORD_ID|18911 gnl|TC-DB|Q9S2Y1|1.A.23.7.1 Putative membrane protein OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) GN=SCO2070 PE=4 SV=1	354	1.65384e-70	38	375	382	7	349	4	348	91.2	90.1	5	5	4.25	MscS	CHEBI:24870;ion	PF00924	PF00924
WP_005914809.1	Q5SMG8	1.A.26.1.2	gnl|BL_ORD_ID|14500 gnl|TC-DB|Q5SMG8|1.A.26.1.2 Mg2+ transporter MgtE - Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579).	441	5.34004e-88	38	455	450	14	450	20	447	95.8	94.9	5	5	3.95	MgtE	CHEBI:3308;calcium(2+), CHEBI:6635;magnesium(2+), CHEBI:29035;manganese(2+)	PF01769,PF03448,PF00571	PF01769,PF00571,PF00571,PF03448
