#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
YP_005227486.1	Q1D027	1.A.1.24.3	gnl|BL_ORD_ID|12884 gnl|TC-DB|Q1D027|1.A.1.24.3 Transporter, cation channel family OS=Myxococcus xanthus (strain DK 1622) GN=MXAN_5859 PE=4 SV=1	272	2.70188e-62	40	275	275	6	273	14	275	97.1	94.9	4	5	3.55	VIC	CHEBI:8345;potassium(1+)	PF00520,PF07885,PF08016	PF00520,PF07885
YP_005229476.1	P0AER0	1.A.8.1.1	gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.	283	0.0	87	283	281	1	283	1	281	99.6	99.6	6	6	6.4	MIP	CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol	PF00230	PF00230
YP_005228915.1	P0AER0	1.A.8.1.1	gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.	268	1.83092e-164	81	267	281	1	267	1	268	99.6	95.0	6	6	6.4	MIP	CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol	PF00230	PF00230
YP_005226086.1	P60844	1.A.8.3.1	gnl|BL_ORD_ID|11132 gnl|TC-DB|P60844|1.A.8.3.1 Aquaporin Z - Escherichia coli.	231	8.42592e-158	90	231	231	1	231	1	231	99.6	99.6	6	6	6.05	MIP	CHEBI:5585;water	PF00230	PF00230
YP_005225456.1	P69681	1.A.11.1.1	gnl|BL_ORD_ID|11268 gnl|TC-DB|P69681|1.A.11.1.1 Ammonia channel - Escherichia coli.	428	0.0	89	428	428	1	428	1	428	99.8	99.8	12	12	12.15	Amt	CHEBI:49783;ammonium, CHEBI:7434;ammonia	PF00909	PF00909
YP_005225724.1	Q8F2Y8	1.A.12.2.2	gnl|BL_ORD_ID|16131 gnl|TC-DB|Q8F2Y8|1.A.12.2.2 Glutathione transferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=gst PE=1 SV=1	110	3.77068e-06	27	201	218	1	110	2	109	54.2	49.1	1	1	0.4	CLIC	CHEBI:3731;chloride	PF13417,PF13409,PF02798	PF13417,PF02798,PF13409
YP_005226980.1	A1ACJ3	1.A.13.5.1	gnl|BL_ORD_ID|135 gnl|TC-DB|A1ACJ3|1.A.13.5.1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC GN=APECO1_1077 PE=4 SV=1	242	4.83305e-62	41	251	252	4	244	9	247	95.6	94.4	2	3	0.5	E-ClC	None	PF07090	PF07090
YP_005226179.1	P0AAC6	1.A.14.2.1	gnl|BL_ORD_ID|8653 gnl|TC-DB|P0AAC6|1.A.14.2.1 Inner membrane protein yccA - Escherichia coli.	219	1.24216e-144	95	219	219	1	219	1	219	99.5	99.5	7	7	7.15	CaTA	None	PF01027	PF01027
YP_005225942.1	P0AAC4	1.A.14.2.2	gnl|BL_ORD_ID|8652 gnl|TC-DB|P0AAC4|1.A.14.2.2 Inner membrane protein ybhL - Escherichia coli.	234	2.91846e-139	84	234	234	1	234	1	234	99.6	99.6	7	7	7.2	CaTA	CHEBI:13704;acetate	PF01027	PF01027
YP_005226112.1	P0AC23	1.A.16.1.1	gnl|BL_ORD_ID|8729 gnl|TC-DB|P0AC23|1.A.16.1.1 Probable formate transporter 1 - Escherichia coli.	285	0.0	94	285	285	1	285	1	285	99.6	99.6	6	6	6.8	FNT	None	PF01226	PF01226
