#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam
WP_011704725.1	Q9YDF8	1.A.1.17.1	gnl|BL_ORD_ID|19547 gnl|TC-DB|Q9YDF8|1.A.1.17.1 295AA long hypothetical potassium channel - Aeropyrum pernix.	228	3.20982e-19	25	273	295	17	232	28	248	78.8	74.6	4	5	2.35	VIC	CHEBI:8345;potassium(1+)	PF07885,PF00520	PF07885,PF00520
WP_017410694.1	V4HHT4	1.A.1.29.3	gnl|BL_ORD_ID|20472 gnl|TC-DB|V4HHT4|1.A.1.29.3 Uncharacterized protein OS=Pseudoalteromonas luteoviolacea 2ta16 GN=PL2TA16_02035 PE=4 SV=1	320	1.85511e-105	48	320	326	4	320	7	326	98.8	97.9	3	3	2.55	VIC	None	PF07885,PF00805,PF00805	PF07885,PF00805,PF00805
WP_199773244.1	P0AER0	1.A.8.1.1	gnl|BL_ORD_ID|8789 gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli.	280	1.14779e-131	66	280	281	1	280	1	280	99.6	99.3	6	6	6.1	MIP	CHEBI:2846;arsenite(3-), CHEBI:26191;polyol, CHEBI:5448;glycerol	PF00230	PF00230
WP_017766545.1	P60844	1.A.8.3.1	gnl|BL_ORD_ID|11132 gnl|TC-DB|P60844|1.A.8.3.1 Aquaporin Z - Escherichia coli.	227	2.75474e-121	76	228	231	2	227	3	229	98.7	97.8	6	6	6.1	MIP	CHEBI:5585;water	PF00230	PF00230
WP_016351995.1	P69681	1.A.11.1.1	gnl|BL_ORD_ID|11268 gnl|TC-DB|P69681|1.A.11.1.1 Ammonia channel - Escherichia coli.	441	2.72395e-173	54	478	428	37	477	22	427	92.1	94.6	12	12	8.5	Amt	CHEBI:49783;ammonium, CHEBI:7434;ammonia	PF00909	PF00909
WP_206817305.1	Q8F2Y8	1.A.12.2.2	gnl|BL_ORD_ID|16131 gnl|TC-DB|Q8F2Y8|1.A.12.2.2 Glutathione transferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=gst PE=1 SV=1	169	5.58099e-10	28	214	218	1	167	2	164	77.6	74.3	1	1	0.8	CLIC	CHEBI:3731;chloride	PF13417,PF02798,PF13410,PF00043,PF13409	PF13417,PF02798,PF13409
WP_206819998.1	F8CM01	1.A.13.4.1	gnl|BL_ORD_ID|4409 gnl|TC-DB|F8CM01|1.A.13.4.1 BatB protein OS=Myxococcus fulvus (strain ATCC BAA-855 / HW-1) GN=LILAB_35780 PE=4 SV=1	205	4.27026e-11	31	499	353	5	188	18	214	36.7	55.5	1	1	0.0	E-ClC	None	PF07719,PF13519,PF00515	PF13519,PF00092
WP_016351136.1	P0AAC6	1.A.14.2.1	gnl|BL_ORD_ID|8653 gnl|TC-DB|P0AAC6|1.A.14.2.1 Inner membrane protein yccA - Escherichia coli.	198	2.02916e-80	60	218	219	17	214	17	214	90.4	90.0	7	7	7.15	CaTA	None	PF01027	PF01027
WP_011705812.1	P0AC23	1.A.16.1.1	gnl|BL_ORD_ID|8729 gnl|TC-DB|P0AC23|1.A.16.1.1 Probable formate transporter 1 - Escherichia coli.	285	1.0593e-133	65	282	285	1	282	1	285	99.6	99.6	6	6	5.85	FNT	None	PF01226	PF01226
WP_011707781.1	P0AC26	1.A.16.3.1	gnl|BL_ORD_ID|8730 gnl|TC-DB|P0AC26|1.A.16.3.1 Probable nitrite transporter - Escherichia coli.	267	9.23765e-158	81	270	268	1	264	1	267	97.4	99.3	6	6	7.25	FNT	CHEBI:7585;nitrite	PF01226	PF01226
