Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.A.87.2.10	WP_155315461	YP_499726.1	265	1.55666e-43	35	664	399	9	271	5	267	39.5	65.7	1	2	0.0	MCA	None	PF00069,PF03793,PF03793,PF03793,PF07714,PF03109	PF00069,PF07714,PF08308	False	WP_155316596
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.C.3.4.2	P0A074	YP_501170.1	309	0.0	100	309	309	1	309	1	309	99.7	99.7	1	1	0.95	aHL	CHEBI:25367;molecule	PF07968	PF07968	False	NA
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.C.3.4.2	P0A074	YP_500726.1	279	3.53024e-47	35	351	309	65	337	34	303	77.5	87.1	1	1	0.0	aHL	CHEBI:25367;molecule	PF07968	PF07968	False	NA
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.I.1.1.5	O76329	YP_500376.1	1415	5.23449e-30	21	2186	1738	659	2001	410	1653	61.4	71.5	1	1	0.0	NPC	CHEBI:14911;protein, CHEBI:8755;(ribonucleotide)n+m	PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF07564,PF04650	PF00307,PF00307,PF11971	True	Q54ME7,P54658,Q8I0F4,Q54Z22,Q54C61,Q555I8,Q54D69,Q54PP1,Q54BF0,P34036,Q54JG5,Q86K39,Q55GJ9,Q86IX4,Q54CA6,Q54QH0,Q558Z2,Q54BH4,Q54RJ3
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.I.1.1.5	O76329	YP_500471.1	801	3.7257200000000004e-23	19	978	1738	134	898	793	1534	78.1	42.6	1	1	0.0	NPC	CHEBI:14911;protein, CHEBI:8755;(ribonucleotide)n+m	PF13514	PF00307,PF00307,PF11971	True	Q54ME7,P54658,Q8I0F4,Q54Z22,Q54C61,Q555I8,Q54D69,Q54PP1,Q54BF0,P34036,Q54JG5,Q86K39,Q55GJ9,Q86IX4,Q54CA6,Q54QH0,Q558Z2,Q54BH4,Q54RJ3
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.I.1.1.5	O76329	YP_498847.1	363	1.79312e-06	20	507	1738	152	506	724	1056	69.8	19.1	1	1	0.0	NPC	CHEBI:14911;protein, CHEBI:8755;(ribonucleotide)n+m	PF20224	PF00307,PF00307,PF11971	True	Q54ME7,P54658,Q8I0F4,Q54Z22,Q54C61,Q555I8,Q54D69,Q54PP1,Q54BF0,P34036,Q54JG5,Q86K39,Q55GJ9,Q86IX4,Q54CA6,Q54QH0,Q558Z2,Q54BH4,Q54RJ3
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
